school_visible_id,fellow_visible_id,group_name,session_number,session_date
ANS23_School_1,TFW23_S_041,2_S19,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_051,2_S22,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_051,2_S22,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_051,2_S22,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_051,2_S22,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_051,2_S22,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_060,2_S23,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_060,2_S23,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_060,2_S23,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_060,2_S23,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_060,2_S23,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_058,2_S24,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_058,2_S24,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_058,2_S24,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_058,2_S24,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_058,2_S24,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_057,2_S25,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_057,2_S25,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_057,2_S25,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_057,2_S25,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_057,2_S25,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_056,2_S26,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_056,2_S26,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_056,2_S26,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_056,2_S26,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_056,2_S26,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_053,2_S27,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_053,2_S27,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_053,2_S27,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_053,2_S27,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_053,2_S27,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_052,2_S28,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_052,2_S28,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_052,2_S28,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_052,2_S28,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_052,2_S28,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_059,2_S29,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_059,2_S29,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_059,2_S29,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_059,2_S29,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_059,2_S29,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_055,2_S30,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_055,2_S30,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_055,2_S30,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_055,2_S30,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_055,2_S30,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_015,2_S31,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_015,2_S31,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_015,2_S31,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_015,2_S31,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_015,2_S31,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_014,2_S32,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_014,2_S32,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_014,2_S32,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_014,2_S32,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_014,2_S32,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_011,2_S33,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_011,2_S33,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_011,2_S33,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_011,2_S33,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_011,2_S33,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_013,2_S34,0,2023-05-14 21:00:00
